model,error_ceiling,method,feasible,actual_total_ms,achieved_error,budget_fraction
qwen05,0.42,paper,True,0.6917834758290781,0.4030440854618237,0.55
qwen05,0.42,cell1_abs,True,0.5847338653208538,0.40378030707379653,0.6
qwen05,0.42,cell1_x2,True,0.579382365349497,0.4030108034817709,0.6
qwen05,0.42,wcell1,True,0.5910931191000739,0.39835545425081537,0.6
qwen05,0.25,paper,True,0.8589359752413469,0.2460729783800031,0.8
qwen05,0.25,cell1_abs,True,0.7175172698538275,0.22788159269100378,0.85
qwen05,0.25,cell1_x2,True,0.7267313806316522,0.22835577487029013,0.85
qwen05,0.25,wcell1,True,0.7349604680078985,0.22768687179666897,0.85
qwen05,0.15,paper,True,0.9659475714950447,0.1149123118717282,0.95
qwen05,0.15,cell1_abs,True,0.7803300401672427,0.13071100937853014,0.95
qwen05,0.15,cell1_x2,True,0.7918718096077404,0.12918909010107785,0.95
qwen05,0.15,wcell1,True,0.7787966746559511,0.13002027137323263,0.95
